Trade	type	date	Asset	amount	for	amount	at price	valuation	tx_id	commission	fee	KUJI ($)	fee ($)	commission ($)	ratio	inverted	premium/ROI	APR
31	BUY	2023-05-09 14:15	KUJI	1019.9005	axlUSDC	615	$1.00	$0.6030	https://finder.kujira.app/kaiyo-1/tx/1902E6577EA9B231EB4D3BFE79C1865984206CC4B86A077953188356816AAC0E	0.764925	0.00029	$0.603	$0.000	$0.4612	0.60	1.658374797		
32	BUY	2023-05-09 15:21	stATOM	40.8145	ATOM	45.5204	$10.641	$11.8679	https://finder.kujira.app/kaiyo-1/tx/0F25E8FD877BB3BB64E102A32C7CF5EE63CE59C8CCF0D7060E93C21769C17BAA	0.03061	0.000325	$0.603	$0.000	$0.3633	11.87	0.08426087557		
33	BUY	2023-05-09 23:11	KUJI	113.8934	USK	65.3748	$1.000	$0.5740	https://finder.kujira.app/kaiyo-1/tx/0C852C68EBDDC1892D6A2346E66840AD96992E09071CFD7510D0E2477DFC907B	0.08542	0.000321	$0.603	$0.000	$0.0490	57.40%	174.22%		
34	LIQUIDATION	2023-05-09 23:22	ATOM	2.1165	USK	21.0000	$1.0000	$9.9220	https://finder.kujira.app/kaiyo-1/tx/07A60D73D8464A404C4F0D3B062B5F50A4F169E3D0FDFE2DA7CAB11D7088AB93	0.010582	0.000415	$0.603	$0.000	$0.1050	9.92	0.1007856667	3.97%	
35	SELL	2023-05-10 16:57	USK	10.1257	wETH	0.0055	$1,845.17	$1.0022	https://finder.kujira.app/kaiyo-1/tx/FD50F2B4E71D410BEF20AF6C0037D829274703ECC210705AE0D6E2A5DE5927D2	0.007594	0.000383	$0.603	$0.000	$0.0076	1.00	0.9977597531		
36	BUY	2023-05-10 17:12	OSMO	166.113	USK	50	$1.000	$0.3010	https://finder.kujira.app/kaiyo-1/tx/DDF14B64E449096C258BCAC141CB693A3E2BC61086B34323E5D6326C18611534	0.35733	0.000366	$0.603	$0.000	$0.1076	30.10%	332.23%		
37	BUY	2023-05-10 17:12	OSMO	186.5672	USK	37.5	$1.000	$0.2010	https://finder.kujira.app/kaiyo-1/tx/DDF14B64E449096C258BCAC141CB693A3E2BC61086B34323E5D6326C18611534	0	0	$0.603	$0.000	$0.0000	20.10%	497.51%		
38	BUY	2023-05-10 17:12	OSMO	123.7624	USK	12.5	$1.000	$0.1010	https://finder.kujira.app/kaiyo-1/tx/DDF14B64E449096C258BCAC141CB693A3E2BC61086B34323E5D6326C18611534	0	0	$0.603	$0.000	$0.0000	10.10%	990.10%		
39	LIQUIDATION	2023-05-10 17:20	stATOM	2.6642	USK	30.0000	$1.0000	$11.2605	https://finder.kujira.app/kaiyo-1/tx/52321833780DDD5A128C71EA315344099F5FDB3B9825399A0A92BFC7658AF036	0.01332	0.000409	$0.603	$0.000	$0.1500	11.26	0.0888058	4.27%	
40	LIQUIDATION	2023-05-10 17:28	gPAXG	0.0106	USK	20.0000	$1.0000	$1,878.8163	https://finder.kujira.app/kaiyo-1/tx/F0B2021B6E066AA4AD3553BDE02CF3987EB52F76E624D09F9A87423C92DE8A02	0.000053	0.000331	$0.603	$0.000	$0.0996	1,878.82	0.00053225	7.00%	
41	LIQUIDATION	2023-05-10 17:36	DOT	5.9978	USK	30.0000	$1.0000	$5.0019	https://finder.kujira.app/kaiyo-1/tx/EA0F57ACFF088635851708F6B8826F60AA968C8B5FE5B86B368D06A4906E8325	0.029989	0.000366	$0.603	$0.000	$0.1500	5.00	0.1999255667	7.34%	
42	SELL	2023-05-10 21:43	LUNA	624	KUJI	1000	$0.618	$0.9904	https://finder.kujira.app/kaiyo-1/tx/5B7B1E8371DEBFBB84A0D46EEBE7C75F72E9494CD14652A3FF11D7548D56065C	0.467999	0.000314	$0.603	$0.000	$0.4635	0.99	1.009708738		
43	SELL	2023-05-10 22:06	USK	12.3293	wETH	0.0067	$1,843.99	$1.0021	https://finder.kujira.app/kaiyo-1/tx/C7A0A8CAF0149E2C874C78197A65D6FEB9F16B2668D34F249735F36C17ADA0F4	0.009246	0.000383	$0.603	$0.000	$0.0093	1.00	0.9979414367		
44	SELL	2023-05-10 22:36	LUNA	143.293	ampLUNA	121.61	$1.11	$0.9386	https://finder.kujira.app/kaiyo-1/tx/21B00414998A6FD2DA08004B3B0E6FC9176F40536ED459215CBDD2F2401087DF	0.107469	0.000361	$0.603	$0.000	$0.1009	0.94	1.065370237		
45	SELL	2023-05-10 23:16	USK	7.1518	FURY	1,897.04	$0.00	$1.0000	https://finder.kujira.app/kaiyo-1/tx/5ED0ED5D1302C630D4CD0472421CD88B8C06CD216443475F671AEB5A7EA78B3C	0.005363	0.000357	$0.603	$0.000	$0.0054	1.00	0.9999955076		
46	MARKET	2023-05-10 23:16	USK	114.748	FURY	65,989.23	$0.00	$1.0351	https://finder.kujira.app/kaiyo-1/tx/CDA244AF82542BEF6B6CB09F9D3223539D546815D14C8167AE6B175F020DD9D2	0.172381	0.002498	$0.603	$0.002	$0.1784	1.04	0.9660498276		
47	SELL	2023-05-10 23:49	USK	0.2152	wETH	0.0001	$1,832.78	$0.8517	https://finder.kujira.app/kaiyo-1/tx/8083BDE88F49001FE9860ECE4BEAB3BD5275196C124A246E2E2723761DD78CE1	0.000161	0.000374	$0.603	$0.000	$0.0001	0.85	1.174172568		
48	SELL	2023-05-11 1:33	USK	3.3326	wETH	0.0018	$1,832.76	$0.9899	https://finder.kujira.app/kaiyo-1/tx/A86D8E97A7EEAF11DDCB156C30EA6FAACEB259B104EF1841FEF2A1EF8CC22B86	0.002499	0.000374	$0.603	$0.000	$0.0025	0.99	1.010194703		
49	SELL	2023-05-11 8:41	axlUSDC	35.0218	wETH	0.0188	$1,860.42	$0.9987	https://finder.kujira.app/kaiyo-1/tx/AC163D43C741137D064E143F856D18BCAE164DDD425220B6A16AA341944D7ABF	0.026266	0.000342	$0.618	$0.000	$0.0262	1.00	1.001312447		
50	SELL	2023-05-11 8:49	LUNA	26.9625	KUJI	37.5	$0.618	$0.8595	https://finder.kujira.app/kaiyo-1/tx/6963EB11966169E178719966FCF630B398AEF7A1F625D3AD2DA66F70EAF6C5D4	0.028789	0.000342	$0.618	$0.000	$0.0247	0.86	1.163430421		
51	SELL	2023-05-11 8:49	LUNA	11.425	KUJI	12.5	$0.618	$0.6761	https://finder.kujira.app/kaiyo-1/tx/6963EB11966169E178719966FCF630B398AEF7A1F625D3AD2DA66F70EAF6C5D4	0	0	$0.618	$0.000	$0.0000	0.68	1.478964401		
52	SELL	2023-05-11 11:48	axlUSDC	3.9424	wBNB	0.0125	$314.355	$0.9967	https://finder.kujira.app/kaiyo-1/tx/BE768543068E3A27D5A1DA093B404EA92B7DB9AB68ED39B8900423E10E87C1E1	0.002956	0.00037	$0.618	$0.000	$0.0029	1.00	1.003298818		
53	BUY	2023-05-11 11:52	axlUSDC	103.7491	USK	99.9	$1.0000	$0.9629	https://finder.kujira.app/kaiyo-1/tx/B2E44C8FA642C4C178068E2AB30ABB37CE7E31D2840688933D34BBB3999882B3	0.077811	0.000317	$0.642	$0.000	$0.0749	0.96	1.03852953		
54	SELL	2023-05-11 12:02	USK	0.7752	LINK	0.1167	$6.645	$1.0004				$0.642	$0.000	$0.0000	1.00	0.9996498904		
55	SELL	2023-05-11 12:04	USK	0.7713	LINK	0.1172	$6.578	$0.9995				$0.642	$0.000	$0.0000	1.00	1.000464886		
56	SELL	2023-05-11 12:06	USK	0.7675	LINK	0.1178	$6.513	$0.9997				$0.642	$0.000	$0.0000	1.00	1.00035009		
